id,num_rooms,location_quality,star_rating,review_score,occupancy_rate,amenities_score,business_facilities,leisure_facilities,distance_to_city_center,average_daily_rate,city,hotel_chain,month,season,number_of_bookings,revPAR,average_length_of_stay,competitors_average_price,transport_accessibility_score,customer_satisfaction_index,cancellation_rate
1,33,Excellent,1,1.84,71.65,3,0,1,7.92,98.22,Chicago,Hilton,1,Winter,53,70.37,4.45,88.56,3.67,81.57,0.01
2,71,Excellent,5,1.88,52.29,5,1,1,4.85,98.73,New York,Hyatt,5,Spring,61,51.62,3.09,84.46,6.30,94.62,0.10
3,150,Good,3,2.93,97.43,1,1,1,8.58,106.56,Los Angeles,Marriott,12,Winter,58,103.82,3.60,131.51,6.30,91.12,0.14
4,167,Average,4,2.88,100.00,2,1,1,3.90,100.85,New York,Sheraton,10,Fall,73,100.85,2.55,108.60,9.86,90.90,0.11
5,139,Average,3,3.36,42.67,2,1,0,3.59,92.50,New York,Sheraton,4,Spring,72,39.47,4.07,75.02,6.90,96.61,0.09
6,99,Good,5,3.43,46.98,1,0,0,4.75,81.50,Miami,Sheraton,3,Spring,60,38.29,3.15,80.60,5.69,83.73,0.20
7,131,Good,4,1.18,49.26,1,1,1,4.72,92.80,Los Angeles,Sheraton,2,Winter,71,45.71,4.58,106.16,4.05,85.91,0.06
8,257,Poor,3,2.58,60.04,3,1,0,6.26,67.83,Los Angeles,Marriott,12,Winter,54,40.73,2.68,103.57,2.82,78.03,0.09
9,172,Good,3,3.66,88.20,3,0,0,4.18,99.57,San Francisco,Hilton,5,Spring,55,87.82,4.54,120.18,2.15,96.13,0.14
10,81,Average,5,2.30,65.47,3,1,1,5.11,102.18,Miami,Marriott,5,Spring,59,66.90,3.62,108.82,1.66,76.90,0.04
11,189,Good,3,3.19,77.52,4,0,1,1.72,103.42,Miami,InterContinental,12,Winter,67,80.18,1.65,111.99,4.05,82.00,0.14
12,162,Poor,2,2.12,81.47,3,1,1,6.18,103.82,Chicago,Sheraton,6,Summer,51,84.59,1.44,123.30,3.86,98.86,0.11
13,95,Good,4,4.11,55.60,2,1,0,3.67,104.38,Los Angeles,Sheraton,9,Fall,69,58.04,3.97,90.17,5.18,78.58,0.20
14,104,Poor,4,2.53,44.45,3,1,1,4.67,107.53,New York,Hilton,9,Fall,59,47.80,2.40,113.72,8.05,95.44,0.11
15,110,Good,5,3.50,41.82,4,1,0,5.89,110.50,Miami,Marriott,8,Summer,56,46.21,2.09,87.39,7.67,72.39,0.20
16,175,Good,3,3.60,40.58,4,0,1,5.38,80.90,Los Angeles,InterContinental,11,Fall,66,32.83,2.56,89.66,2.09,73.44,0.19
17,165,Average,1,4.23,76.97,1,0,1,8.73,109.04,Miami,InterContinental,12,Winter,65,83.92,2.86,121.83,8.27,98.99,0.12
